Track name: Some("North loop - Real Plan")
2200
lat: (-81.16775,-78.95907) lng: (39.925,42.19699)
141
4.2702,"Monroeville Mall","Monroeville, Pennsylvania",https://www.atlasobscura.com/places/monroeville-mall
4.8499,"Museum of Material Failures","Pittsburgh, Pennsylvania",https://www.atlasobscura.com/places/museum-of-material-failures
0.9218,"Cathedral of Learning ","Pittsburgh, Pennsylvania",https://www.atlasobscura.com/places/cathedral-of-learning
2.1666,"Arsenal Park","Pittsburgh, Pennsylvania",https://www.atlasobscura.com/places/arsenal-park
1.1058,"Roslyn Place","Pittsburgh, Pennsylvania",https://www.atlasobscura.com/places/roslyn-place
1.7880,"Linesville Spillway","Linesville, Pennsylvania",https://www.atlasobscura.com/places/linesville-spillway
1.0777,"Mellon Institute Columns","Pittsburgh, Pennsylvania",https://www.atlasobscura.com/places/mellon-institute-columns
1.8012,"Inventionland","Pittsburgh, Pennsylvania",https://www.atlasobscura.com/places/inventionland
0.7802,"Photo Antiquities Museum","Pittsburgh, Pennsylvania",https://www.atlasobscura.com/places/photo-antiquities-museum
3.3317,"Westinghouse Atom Smasher","Pittsburgh, Pennsylvania",https://www.atlasobscura.com/places/westinghouse-atom-smasher
0.1179,"Johnny Angel's Ginchy Stuff","Pittsburgh, Pennsylvania",https://www.atlasobscura.com/places/johnny-angels-ginchy-stuff
0.5472,"Original Puppets from 'Mister Rogers' Neighborhood'","Pittsburgh, Pennsylvania",https://www.atlasobscura.com/places/original-puppets-from-mister-rogers-neighborhood
0.0707,"The Immaculate Reception Monument","Pittsburgh, Pennsylvania",https://www.atlasobscura.com/places/the-immaculate-reception-monument-pittsburgh-pennsylvania
4.2586,"The Living Dead Museum","Monroeville, Pennsylvania",https://www.atlasobscura.com/places/the-living-dead-museum-evans-city-pennsylvania
7.9695,"Fountain of Youth","Wexford, Pennsylvania",https://www.atlasobscura.com/places/fountain-of-youth
1.2781,"Beechview-Seldom Seen Greenway","Pittsburgh, Pennsylvania",https://www.atlasobscura.com/places/beechview-seldom-seen-greenway
4.2703,"Fraley's Robot Repair","Coraopolis, Pennsylvania",https://www.atlasobscura.com/places/fraleys-robot-repair
4.9147,"Professional and Amateur Pinball Association World Headquarters","Carnegie, Pennsylvania",https://www.atlasobscura.com/places/papa-world-headquarters
0.5227,"West End Overlook","Pittsburgh, Pennsylvania",https://www.atlasobscura.com/places/west-end-overlook
2.6191,"Cascade Park","New Castle, Pennsylvania",https://www.atlasobscura.com/places/cascade-park-new-castle
0.4020,"Iron Soup","Campbell, Ohio",https://www.atlasobscura.com/places/iron-soup
2.7764,"Winter Mausoleum","Pittsburgh, Pennsylvania",https://www.atlasobscura.com/places/winter-mausoleum
0.8347,"Conflict Kitchen","Pittsburgh, Pennsylvania",https://www.atlasobscura.com/places/conflict-kitchen
0.2936,"Foxburg Country Club","Foxburg, Pennsylvania",https://www.atlasobscura.com/places/foxburg-country-club
5.1920,"Merrill Lock No. 6","Industry, Pennsylvania",https://www.atlasobscura.com/places/old-lock-six-on-the-ohio-river
0.4075,"Monongahela Incline","Pittsburgh, Pennsylvania",https://www.atlasobscura.com/places/monongahela-incline
1.3936,"Trundle Manor: House of Oddities","Pittsburgh, Pennsylvania",https://www.atlasobscura.com/places/trundle-manor
0.0454,"Rockland (Woodhill) Tunnel","Kennerdell, Pennsylvania",https://www.atlasobscura.com/places/rockland-woodhill-tunnel
9.1919,"Buhl Park Golf Course","Sharon, Pennsylvania",https://www.atlasobscura.com/places/buhl-park-dum-dum-golf-course
0.2553,"Allegheny County Belt System","Pittsburgh, Pennsylvania",https://www.atlasobscura.com/places/allegheny-county-belt-system
3.4241,"Bayernhof Music Museum","Pittsburgh, Pennsylvania",https://www.atlasobscura.com/places/bayernhof-music-museum
